candidate_id,skills,true_target_job
1,ci/cd; django; python; selenium,Software QA Engineer
2,arduino; aws; ci/cd; sql; statistics,Business Intelligence Analyst
3,django; docker; linux; python; scikit-learn; typescript,Backend Developer
4,docker; git; html; javascript; linux; react,Frontend Developer
5,c++; pandas; python; robotics; typescript,Embedded Systems Engineer
6,html; javascript; react; typescript,Frontend Developer
7,c++; machine learning; pytorch; sql,NLP Engineer
8,linux; machine learning; numpy; pandas; penetration testing; python; selenium; sql,Data Scientist
9,data visualization; excel; python; sql; terraform,Data Analyst
10,data visualization; nlp; power bi; statistics,Business Intelligence Analyst
11,c++; git; javascript; kubernetes; mlops; react; sql,Full Stack Developer
12,airflow; docker; etl; excel; microcontrollers; scikit-learn; spark; sql,Data Engineer
13,data visualization; penetration testing; python; pytorch; statistics; typescript,Data Analyst
14,django; docker; python; rest api; sql,Backend Developer
15,excel; machine learning; pandas; scikit-learn; sql; statistics; tensorflow,Data Analyst
16,nlp; python; pytorch; sql; transformers,NLP Engineer
17,css; html; javascript; sql; typescript,Frontend Developer
18,etl; penetration testing; spark; sql,Data Engineer
19,aws; c++; microcontrollers; robotics; spark,Embedded Systems Engineer
20,docker; machine learning; python; pytorch; sql; tensorflow,Machine Learning Engineer
21,etl; machine learning; power bi; sql; statistics; terraform,Business Intelligence Analyst
22,machine learning; nlp; pandas; pytorch; robotics; sql; statistics; transformers,NLP Engineer
23,aws; azure; docker,Cloud Engineer
24,cnn; machine learning; opencv; python,Computer Vision Engineer
25,git; mlops; python; sql,Backend Developer
26,css; git; html; python; pytorch; sql; testing,Software QA Engineer
27,docker; machine learning; mlops; pytorch; sql,Machine Learning Engineer
28,ci/cd; css; git; linux; python; testing,Software QA Engineer
29,django; git; mlops; rest api,Backend Developer
30,aws; kubernetes; linux,Cloud Engineer
31,ci/cd; git; javascript; power bi; python; scikit-learn; sql; testing,Software QA Engineer
32,airflow; etl; network security; python; scikit-learn,Data Engineer
33,linux; microcontrollers; network security; penetration testing; sql,Cybersecurity Analyst
34,django; docker; git; python; sql,Backend Developer
35,machine learning; numpy; pandas; python; sql,Data Scientist
36,css; javascript; machine learning; react; sql; transformers,Full Stack Developer
37,cnn; javascript; machine learning; microcontrollers; python; pytorch,Computer Vision Engineer
38,nlp; python; robotics; selenium; sql; testing,Software QA Engineer
39,airflow; etl; python; spark,Data Engineer
40,mlops; penetration testing; python; pytorch; sql; tensorflow,Machine Learning Engineer
41,cnn; css; django; git; javascript,Frontend Developer
42,git; javascript; linux; nlp; react,Frontend Developer
43,data visualization; excel; power bi,Business Intelligence Analyst
44,linux; machine learning; mlops; python; pytorch; tensorflow,Machine Learning Engineer
45,data visualization; pandas; sql; statistics,Data Analyst
46,docker; etl; python; rest api; sql,Data Engineer
47,linux; python; sql; statistics,Data Analyst
48,etl; git; python; sql,Software QA Engineer
49,arduino; c++; excel; linux; mlops; python; robotics,Embedded Systems Engineer
50,arduino; c++; html; python,Embedded Systems Engineer
51,git; javascript; python; pytorch; react; sql,Full Stack Developer
52,arduino; aws; ci/cd; docker; power bi; terraform,DevOps Engineer
53,machine learning; mlops; python; pytorch; tensorflow,Machine Learning Engineer
54,cnn; docker; machine learning; pytorch,Computer Vision Engineer
